figure	panel	placement	priority	scientific_question	dataset	analysis_unit	exact_source_table	x_or_schematic_elements	y_or_readout	statistical_summary	comparator	visual_form	one_sentence_result	caveat	evidence_status
Figure 2	2F	Main	Optional	What is the practical serialized cost of chain-aligned RFU annotation?	Deterministic Wells native subsets	Native receptor-only object	native_scale/25k/source_table.tsv; native_scale/100k/source_table.tsv; native_scale/250k/source_table.tsv	Selected cells and object state: AIRR baseline, chain annotation, cell summary	Serialized bytes, serialization seconds and reload seconds	Observed point estimates	Before annotation versus chain annotation versus optional summary	Grouped size bars	Native RFU annotation adds measurable but tractable storage overhead through 250k receptor-only cells.	H5AD/H5MU compression and source-chain density affect byte sizes; move to Extended Data if Figure 2 is crowded.	SUFFICIENT
Figure 3	3A	Main	Essential	How much does RFU assignment compress exact receptor identity?	Wells, GSE190905, GSE157007, Scirpy wu2020_3k	Dataset-level feature vocabulary	representation_consistency/representation_compression.tsv	Dataset and representation	Unique exact CDR3s, exact clonotypes where available, nearest RFUs and threshold-qualified RFUs	Descriptive counts	Exact CDR3; Scirpy clonotype where available	Paired log-scale feature-count bars	Across four public datasets, thousands of RFUs represented substantially larger exact-CDR3 vocabularies.	Compression is a representation property and is not evidence of biological superiority.	SUFFICIENT
Figure 3	3B	Main	Essential	Do RFUs aggregate multiple distinct sequences rather than merely rename clonotypes?	Wells, GSE190905, GSE157007, Scirpy wu2020_3k	RFU	representation_consistency/sequences_per_rfu.tsv	Distinct sequences per RFU	RFU frequency or cumulative fraction	Median, distribution and singleton fraction by dataset	One-sequence-per-feature identity baseline	ECDF or violin on log scale	RFUs commonly represented multiple distinct CDR3 sequences, with dataset-dependent group-size distributions.	Large groups may reflect reference geometry and sampling depth; grouping alone does not prove functional equivalence.	SUFFICIENT
Figure 3	3C	Main	Essential	How do dimensionality and sparsity differ among receptor representations?	Wells, GSE190905, GSE157007, Scirpy wu2020_3k	Sample-by-feature matrix	representation_consistency/representation_compression.tsv; GSE190905/scirpy_comparator/representation_summary.tsv	Feature count or effective dimension	Sample-feature sparsity	Descriptive matrix statistics	RFU, exact CDR3, Scirpy clonotype, V/J and CDR3 length where available	Bubble plot: dimension, sparsity and feature count	RFU matrices occupied an intermediate representation regime: less sparse and lower-dimensional than exact sequences or clonotypes while retaining more detail than coarse V/J or length summaries.	Lower dimension and lower sparsity do not inherently imply better biological performance.	SUFFICIENT
Figure 3	3D	Main	Essential	Does the frozen reference retain comparable assignment coverage across independent datasets?	Wells, GSE190905, GSE157007, Scirpy wu2020_3k	Eligible receptor sequence or chain	representation_consistency/representation_compression.tsv; cross_cohort/cross_cohort_technical_summary.tsv; wu2020_3k/official_run/summary.tsv	Dataset	Threshold coverage and nearest/threshold-qualified RFU richness	Descriptive point estimates	Nearest versus frozen threshold-qualified policy	Coverage dots with richness labels	The unchanged reference yielded approximately 77% threshold coverage across four distinct public receptor datasets.	Threshold failure is a frozen score-policy outcome, not a calibrated out-of-distribution probability.	SUFFICIENT
Figure 3	3E	Main	Essential	Is the RFU feature vocabulary reused across datasets more than exact CDR3 identity?	All pairwise combinations of Wells, GSE190905, GSE157007 and wu2020_3k	Dataset pair and feature identity	representation_consistency/cross_dataset_feature_sharing.tsv	Dataset pair and representation	Shared feature count, Jaccard and fraction shared	Descriptive exact set overlap	Exact CDR3, nearest RFU and threshold-qualified RFU	Paired heatmaps or slope plots	Independent datasets shared a much larger fraction of the frozen RFU vocabulary than of exact CDR3 identities.	Shared RFU feature space does not establish biological equivalence between cohorts or receptors.	SUFFICIENT
Figure 3	3F	Extended Data	Optional	How prevalent are RFU features across samples within each dataset?	Wells, GSE190905, GSE157007, Scirpy wu2020_3k	RFU	representation_consistency/rfu_sample_prevalence.tsv	Sample prevalence	RFU density	Median and empirical distribution	Nearest versus threshold-qualified summaries where available	ECDF	RFU prevalence distributions differ across cohorts and sampling designs while using the same feature vocabulary.	Sample counts and designs differ, so prevalence is descriptive and not an outcome comparison.	SUFFICIENT
Figure 4	4A	Main	Essential	What distinct validation roles do the public cohorts play?	Wells, GSE190905 and GSE157007	Dataset/cohort	cross_cohort/cross_cohort_technical_summary.tsv; docs/cross_dataset_evidence_summary.md	Development atlas, independent repeated-measures cohort, preregistered held-out cohort	Design, receptor rows and frozen-policy coverage	Descriptive cohort characteristics	None	Study-role schematic	The validation design separates development/stress evidence, independent paired validation and preregistered held-out transfer.	Cohort roles and biological purposes must not be blurred.	SUFFICIENT
Figure 4	4B	Main	Essential	How well do frozen representations retrieve a donor across two public timepoints?	GSE190905	Held-out patient-time sample query	GSE190905/scirpy_comparator/retrieval_summary.tsv	Representation	Top-1, top-3 and mean reciprocal rank	Twelve leave-one-timepoint-out queries; descriptive summary	RFU, exact CDR3, genuine Scirpy clonotype, TRBV+TRBJ, CDR3 length and diversity	Grouped points or bars	RFU retained donor-retrieval information with the same top-1 performance as exact CDR3, Scirpy clonotypes and V/J, while no representation dominated every metric.	Six donors and two visits support repeated-measures representation, not deep temporal dynamics or population inference.	SUFFICIENT
Figure 4	4C	Main	Essential	Do RFU representations preserve within-donor structure relative to between-donor pairs?	GSE190905	Patient-time sample pair	GSE190905/scirpy_comparator/pairwise_summary.tsv	Pair type: within donor versus between donor	Cosine similarity; Jaccard in Extended Data	Mean, median, standard deviation and pair count; no naive pairwise p-value	Same representations as 4B	Paired representation-wise dot/range plot	Within-donor RFU cosine exceeded the between-donor mean, with contrast patterns complementary to exact and conventional representations.	Pairwise observations are dependent and no donor-aware inferential test was run.	SUFFICIENT
Figure 4	4D	Main	Essential	Are representation vectors stable under controlled subsampling?	GSE190905	Sample representation under fixed-seed subsampling	GSE190905/scirpy_comparator/downsampling_summary.tsv	Retained fraction and representation	Cosine to full sample vector	Mean, median and standard deviation over 36 sample-seed observations per fraction	RFU, exact CDR3, Scirpy clonotype, V/J and CDR3 length	Stability curves	RFU was slightly more stable than exact CDR3 and Scirpy clonotypes, whereas coarser V/J and length summaries were more stable because they retain less receptor detail.	Subsampling stability alone is not superiority, and abundance resampling is not physical sequencing-depth simulation.	SUFFICIENT
Figure 4	4E	Main	Essential	Does the frozen reference transfer without tuning to a preregistered held-out cohort?	GSE157007	Held-out receptor-bearing cell and cohort feature vocabulary	GSE157007/heldout_validation/transfer_summary.tsv	Assignment policy	Threshold coverage and RFU richness	Descriptive frozen-policy estimates	Nearest versus threshold-qualified assignment	Coverage/richness summary	Without refitting or threshold tuning, GSE157007 achieved 76.88% coverage with 4,898 nearest and 4,618 threshold-qualified RFUs.	One cross-sectional sample per donor prevents donor retrieval or longitudinal interpretation.	SUFFICIENT
Figure 4	4F	Main	Essential	Are held-out RFU sample vectors robust to deterministic subsampling?	GSE157007	Biological sample vector	GSE157007/heldout_validation/subsampling_stability.tsv; GSE157007/heldout_validation/subsampling_stability_summary.tsv	Retained fraction and assignment policy	Cosine to full vector	Mean across 17 samples and three fixed seeds at each fraction; retain sample-seed points	Nearest versus threshold-qualified RFU; conventional comparators in Extended Data	Stability curves with sample-level distribution	Held-out nearest-RFU cosine averaged approximately 0.936 at 50% and 0.976 at 75% subsampling.	This is technical stability in a cross-sectional held-out cohort, not evidence of outcome prediction.	SUFFICIENT
Figure 5	5A	Main	Essential	How does RFU annotation remain connected to single-cell phenotype and sample context?	Wells AIRR plus cell metadata; native scverse schema	AIRR chain, cell, phenotype and sample	SCHEMATIC: docs/scverse_storage_schema.md; Wells/full/downstream/library_nearest/run_manifest.json	AIRR chain -> RFU -> cell ID -> cell type/library/donor -> pseudobulk/coupling	Explicit join and aggregation levels	None	Unlinked repertoire table versus chain-aligned native context	Context-linkage schematic	Chain-aligned RFU annotations can be aggregated by explicit cell, phenotype, library or donor keys without loading expression values.	Schematic demonstrates data linkage, not biological causality; expression embeddings are not recomputed by scRFU.	SCHEMATIC_ONLY
Figure 5	5B	Main	Essential	Do RFUs show heterogeneous associations with annotated cell phenotypes at atlas scale?	Full Wells atlas	RFU-by-cell-type profile	Wells/full/downstream/library_nearest/rfu_phenotype_coupling.tsv; Wells/full/downstream/library_threshold/rfu_phenotype_coupling.tsv	Top 30 RFUs ranked by total abundance with ties resolved by RFU label; all represented cell types	Phenotype-specific proportion with marginal sample prevalence	Descriptive proportions; display selection uses abundance only, never phenotype strength	Nearest versus threshold-qualified assignment	Heatmap with marginal prevalence	RFU assignments link receptor-state features to heterogeneous single-cell phenotype distributions across the Wells atlas.	No cell-level inferential p-values; displayed RFUs are selected for legibility by abundance and are not claimed phenotype-specific.	SUFFICIENT
Figure 5	5C	Main	Essential	Are phenotype-coupling profiles stable to receptor-cell subsampling?	Bounded Wells 25k	RFU-by-phenotype profile	wells_bounded/phenotype_coupling_stability.tsv	Retained cell fraction	Coupling cosine and dominant-phenotype agreement	Three fixed seeds; plot seed values and mean/median	Nearest versus threshold-qualified assignment	Two stability curves	Phenotype-coupling profiles became progressively more stable with retained cells, reaching the full-reference value at 100%.	Descriptive stability does not prove causal phenotype coupling or subset representativeness.	SUFFICIENT
Figure 5	5D	Main	Essential	How much external antigen evidence is available under exact matching rules?	VDJdb 2026-06-03 with Wells, GSE190905 and GSE157007	Distinct RFU CDR3 sequence and match-query variant	VDJdb/source_tables/vdjdb_sensitivity_summary.tsv	Dataset and match mode	Matched-sequence fraction, matched RFUs and RFUs with at least two matched sequences	Descriptive counts across frozen policy combinations	CDR3 versus strict CDR3+V; nearest versus threshold-qualified	Match-coverage dot plot	Exact external annotation coverage was greatest for Wells and substantially sparser under strict CDR3+V matching, especially in the smaller cohorts.	Database coverage and evidence bias limit interpretation; a match is annotation evidence, not antigen specificity.	SUFFICIENT
Figure 5	5E	Main	Essential	Are antigen labels among distinct sequences in the same RFU more coherent than size-preserving null assignments?	VDJdb 2026-06-03 with Wells primary analysis	Distinct matched sequence pair within RFU	VDJdb/source_tables/vdjdb_null_summary.tsv	Observed statistic versus unrestricted null mean	Same-antigen pair fraction with null mean plus/minus null standard deviation	Observed 0.1128, null mean 0.0646, 1,000 permutations, empirical upper-tail p=0.000999	Size-preserving unrestricted null; stratified nulls in Extended Data	Observed-versus-null estimate plot	For Wells nearest/fractional CDR3 evidence, within-RFU annotation coherence exceeded the size-preserving null expectation.	This is group-level external annotation coherence, not antigen specificity of any RFU; the consolidated source contains null summaries rather than raw permutation distributions.	SUFFICIENT
Figure 5	5F	Main	Essential	Can VDJdb evidence be linked to native AIRR chains without changing chain or row identity?	Scirpy wu2020_3k plus VDJdb 2026-06-03	AIRR chain, cell and sample	wu2020_3k/native_vdjdb_linkage/native_chain_vdjdb_summary.tsv.gz; native_cell_vdjdb_summary.tsv.gz; native_sample_vdjdb_summary.tsv	AIRR chain -> RFU sequence identity -> VDJdb match-query identity -> cell/sample summary	Preserved chain count and matched-chain counts	Exact count invariants	CDR3 versus CDR3+V evidence-query identity	Alluvial/funnel with invariant counts	Native linkage preserved all 7,544 AIRR chains while attaching exact CDR3 and strict CDR3+V evidence through separate deterministic query identities.	The public example has sparse annotation coverage; long evidence tables remain authoritative and no row expansion is interpreted as new cells.	SUFFICIENT
Extended Data 1	ED1A	Extended Data	Essential	Are runtime inputs, references and outputs traceable?	All frozen evidence runs	Run manifest	Wells/full/evidence_manifest_full_rfu.json; VDJdb/source_tables/source_table_manifest.json; docs/evidence_index.json	Dataset and analysis family	Input/reference/output hashes, versions, parameters, timestamps	Manifest validation only	None	Provenance matrix	Every quantitative evidence family is linked to a sealed external manifest and artifact hashes.	External runtime paths are not shareable identifiers and source-license review still applies to deposits.	SUFFICIENT
Extended Data 1	ED1B	Extended Data	Optional	How do deduplication, chunking and reconstruction operate?	Canonical workflow	Receptor row and unique CDR3	wells_bounded/figure1_scaling_source.tsv; docs/methods_freeze.md	Input rows -> unique sequences -> chunks -> row reconstruction	Counts and invariant hashes	Exact deterministic checks	No deduplication; alternative chunk/worker settings	Detailed workflow schematic	Exact-CDR3 deduplication reduces backend work while deterministic reconstruction restores original row order and multiplicity.	Deduplication benefit depends on clone duplication.	SUFFICIENT
Extended Data 2	ED2A	Extended Data	Essential	How sensitive is coverage to the score threshold?	Wells 25k	Eligible receptor row	wells_bounded/threshold_sensitivity.tsv	Threshold	Pass fraction and RFU richness	Descriptive sensitivity curve	Nearest versus threshold-qualified policy	Threshold curve	Coverage changes predictably across candidate thresholds while 0.6 remains the frozen primary threshold.	Threshold failure is not a calibrated OOD probability and the curve must not be used to retune the primary analysis.	SUFFICIENT
Extended Data 2	ED2B	Extended Data	Optional	How do nearest and threshold-qualified downstream summaries differ?	Wells full and bounded	RFU, library and donor	wells_bounded/single_cell_analysis/assignment_policy_summary.tsv; Wells/full/downstream/library_nearest/rfu_metrics.tsv; Wells/full/downstream/library_threshold/rfu_metrics.tsv	Assignment policy	Coverage, richness, convergence and phenotype metrics	Descriptive paired policy summaries	Nearest versus threshold-qualified	Paired dot plots	Nearest and threshold-qualified policies yield related but nonidentical downstream summaries.	Policies answer different questions and must not be pooled.	SUFFICIENT
Extended Data 3	ED3A	Extended Data	Essential	Do scRFU annotations survive standard scverse object operations?	Synthetic AIRR AnnData/MuData plus native bounded objects	Observation and AIRR chain	TEST EVIDENCE: tests/test_scverse_native.py; native_scale/25k/run_manifest.json; native_scale/100k/run_manifest.json; native_scale/250k/run_manifest.json	Operation: H5AD/H5MU round trip, subset, compatible concat, incompatible concat	Preserved counts or explicit rejection	Exact assertions and zero reload mismatches	Before versus after operation	Pass/fail technical matrix	Serialization, subsetting and compatible concatenation preserve aligned annotations, while incompatible schema/reference combinations are rejected.	No standalone frozen plot-ready table exists; this should remain a technical matrix derived directly from tests/manifests, not a quantitative result plot.	TEST_EVIDENCE_ONLY
Extended Data 4	ED4A	Extended Data	Essential	What memory and storage overhead does native annotation add?	Wells native 25k, 100k and 250k	Receptor-only object	native_scale/25k/source_table.tsv; native_scale/100k/source_table.tsv; native_scale/250k/source_table.tsv	Object size and annotation state	Parent/child peak RSS, baseline/annotated/summary bytes, serialization/reload time	Observed point estimates	AIRR baseline versus chain annotation versus cell summary	Faceted storage and memory bars	Native storage overhead scales tractably across the bounded receptor-only objects.	Host, HDF5 compression and receptor density affect the estimates.	SUFFICIENT
Extended Data 5	ED5A	Extended Data	Essential	Where do alternative representations outperform or underperform RFU?	GSE190905	Sample representation and sample pair	GSE190905/scirpy_comparator/representation_summary.tsv; retrieval_summary.tsv; pairwise_summary.tsv; downsampling_summary.tsv	Representation and metric	Dimension, sparsity, retrieval, cosine, Jaccard and stability	Descriptive summaries on identical candidates and seeds	RFU, exact CDR3, Scirpy clonotype, V/J, length and diversity	Multi-metric comparator matrix	Comparator strengths differ by endpoint: exact CDR3 slightly exceeds RFU MRR, while coarse summaries maximize stability partly by discarding detail.	The benchmark is descriptive and not designed to establish universal superiority.	SUFFICIENT
Extended Data 6	ED6A	Extended Data	Essential	Are VDJdb results robust to matching, assignment and ambiguity policies?	VDJdb with Wells, GSE190905 and GSE157007	Distinct matched RFU CDR3 sequence	VDJdb/source_tables/vdjdb_sensitivity_summary.tsv	Dataset, CDR3/CDR3+V, nearest/threshold and ambiguity policy	Match fraction, purity, entropy, pair fraction and ambiguity	All 24 prespecified combinations	Policy combinations	Faceted sensitivity heatmap	The direction and estimability of annotation-coherence summaries depend on match strictness, coverage and ambiguity policy.	Sparse strict-match cells must remain visible and undefined estimates must not be optimized away.	SUFFICIENT
Extended Data 6	ED6B	Extended Data	Essential	Does RFU coherence exceed simple receptor-property grouping baselines?	VDJdb with Wells, GSE190905 and GSE157007	Grouping of distinct matched sequences	VDJdb/source_tables/vdjdb_grouping_comparison.tsv	Grouping method	Purity, entropy and same-antigen pair fraction	Descriptive comparison under each frozen evidence cell	RFU, TRBV, CDR3 length, TRBV+length, size-matched random and edit-distance groups	Faceted comparator dot plot	RFU grouping provides coherence behavior distinct from simple receptor-property and size-matched groupings, without dominating every metric or sparse dataset.	Group sizes and database annotation biases affect purity and entropy; no grouping is an antigen-specific classifier.	SUFFICIENT
Extended Data 6	ED6C	Extended Data	Essential	Does the coherence result persist under receptor-property-stratified nulls?	VDJdb with Wells, GSE190905 and GSE157007	Distinct matched sequence label assignment	VDJdb/source_tables/vdjdb_null_summary.tsv	Null model	Observed statistic, null mean, null standard deviation and empirical p	1,000 permutations per supported cell	Unrestricted, CDR3-length, TRBV and TRBV+length stratified nulls	Forest plot	Supported evidence cells can be compared against size-preserving unrestricted and receptor-property-stratified null models.	Nulls control only the stated properties; skipped sparse cells are evidence limitations, not negative results.	SUFFICIENT
Extended Data 6	ED6D	Extended Data	Optional	What VDJdb evidence-score distribution underlies the matches?	VDJdb with Wells, GSE190905 and GSE157007	VDJdb evidence record	VDJdb/source_tables/vdjdb_evidence_score_distribution.tsv	Evidence score and policy cell	Evidence record count	Descriptive distribution	CDR3 versus CDR3+V and datasets	Stacked distributions	Matched evidence spans the available VDJdb evidence-score categories across datasets and matching rules.	Database evidence scores are external annotations and are not calibrated scRFU probabilities.	SUFFICIENT
Extended Data 7	ED7A	Extended Data	Essential	Is scRFU portable and interoperable across the supported Python-only ecosystem?	Synthetic fixtures and package artifacts	CI job or dependency environment	TECHNICAL EVIDENCE: GitHub Actions run 33582603639; docs/scverse_dependency_matrix.md; docs/scirpy_public_smoke.md	Python/OS/dependency configuration	Pass, skip or supported-boundary status	Exact CI outcomes	Python 3.10/3.11/3.12; Ubuntu/macOS/Windows Python-only smoke; optional stack	Compatibility matrix	The frozen commit passed the configured Python, OS, documentation, package-install and tutorial jobs, with official RFU/R execution demonstrated only on Linux.	No standalone quantitative source table exists and official RFU execution is not claimed on macOS or Windows.	TECHNICAL_RECORD_ONLY
